ID,qrCode,location,year,TP1PRCPT,TP2PRCPT,TP3PRCPT,TP4PRCPT,TP5PRCPT,TP6PRCPT,CECPH7,CLAY,ECEC,NITKJD,ORGC,PHAQ,SAND,SILT,TCEQ,TOTC,WG0006,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,block,row,range,plotNumber,genotype,plantingDate,totalStandCount,daysToAnthesis,GDDToAnthesis,yieldPerAcre,Red_mean_TP1,Red_median_TP1,Red_sum_TP1,Green_mean_TP1,Green_median_TP1,Green_sum_TP1,Blue_mean_TP1,Blue_median_TP1,Blue_sum_TP1,GLI_mean_TP1,NGRDI_mean_TP1,NDVI_mean_TP1,GNDVI_mean_TP1,SAVI_mean_TP1,NDRE_mean_TP1,RedEdge_mean_TP1,RedEdge_median_TP1,RedEdge_sum_TP1,DeepBlue_mean_TP1,DeepBlue_median_TP1,DeepBlue_sum_TP1,Nir_mean_TP1,Nir_median_TP1,Nir_sum_TP1,Red_mean_TP2,Red_median_TP2,Red_sum_TP2,Green_mean_TP2,Green_median_TP2,Green_sum_TP2,Blue_mean_TP2,Blue_median_TP2,Blue_sum_TP2,GLI_mean_TP2,NGRDI_mean_TP2,NDVI_mean_TP2,GNDVI_mean_TP2,SAVI_mean_TP2,NDRE_mean_TP2,RedEdge_mean_TP2,RedEdge_median_TP2,RedEdge_sum_TP2,DeepBlue_mean_TP2,DeepBlue_median_TP2,DeepBlue_sum_TP2,Nir_mean_TP2,Nir_median_TP2,Nir_sum_TP2,Red_mean_TP3,Red_median_TP3,Red_sum_TP3,Green_mean_TP3,Green_median_TP3,Green_sum_TP3,Blue_mean_TP3,Blue_median_TP3,Blue_sum_TP3,GLI_mean_TP3,NGRDI_mean_TP3,NDVI_mean_TP3,GNDVI_mean_TP3,SAVI_mean_TP3,NDRE_mean_TP3,RedEdge_mean_TP3,RedEdge_median_TP3,RedEdge_sum_TP3,DeepBlue_mean_TP3,DeepBlue_median_TP3,DeepBlue_sum_TP3,Nir_mean_TP3,Nir_median_TP3,Nir_sum_TP3,Red_mean_TP4,Red_median_TP4,Red_sum_TP4,Green_mean_TP4,Green_median_TP4,Green_sum_TP4,Blue_mean_TP4,Blue_median_TP4,Blue_sum_TP4,GLI_mean_TP4,NGRDI_mean_TP4,NDVI_mean_TP4,GNDVI_mean_TP4,SAVI_mean_TP4,NDRE_mean_TP4,RedEdge_mean_TP4,RedEdge_median_TP4,RedEdge_sum_TP4,DeepBlue_mean_TP4,DeepBlue_median_TP4,DeepBlue_sum_TP4,Nir_mean_TP4,Nir_median_TP4,Nir_sum_TP4,Red_mean_TP5,Red_median_TP5,Red_sum_TP5,Green_mean_TP5,Green_median_TP5,Green_sum_TP5,Blue_mean_TP5,Blue_median_TP5,Blue_sum_TP5,GLI_mean_TP5,NGRDI_mean_TP5,NDVI_mean_TP5,GNDVI_mean_TP5,SAVI_mean_TP5,NDRE_mean_TP5,RedEdge_mean_TP5,RedEdge_median_TP5,RedEdge_sum_TP5,DeepBlue_mean_TP5,DeepBlue_median_TP5,DeepBlue_sum_TP5,Nir_mean_TP5,Nir_median_TP5,Nir_sum_TP5,Red_mean_TP6,Red_median_TP6,Red_sum_TP6,Green_mean_TP6,Green_median_TP6,Green_sum_TP6,Blue_mean_TP6,Blue_median_TP6,Blue_sum_TP6,GLI_mean_TP6,NGRDI_mean_TP6,NDVI_mean_TP6,GNDVI_mean_TP6,SAVI_mean_TP6,NDRE_mean_TP6,RedEdge_mean_TP6,RedEdge_median_TP6,RedEdge_sum_TP6,DeepBlue_mean_TP6,DeepBlue_median_TP6,DeepBlue_sum_TP6,Nir_mean_TP6,Nir_median_TP6,Nir_sum_TP6
1,23-A-1725448,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,15,9,1725448,LH185 X LH145,5/19/2023,NA,NA,NA,NA,407.9619565,420.5,75065,643.3423913,651,118375,446.8315217,457,82217,0.210609014,-0.241166306,0.83735077,0.752578785,1.255897842,0.333213101,2267.277174,2274,417179,527.9293478,530.5,97139,4538.184783,4555,835026,377.5054348,381.5,69461,563.7663043,587.5,103733,380.6413043,387.5,70038,0.231366299,-0.259217331,0.84382516,0.768647723,1.265592177,0.365644083,1942.320652,1975,357387,445.4076087,451.5,81955,4182.657609,4262.5,769609,764.5,782.5,140668,819.6956522,833.5,150824,627.9782609,637.5,115548,0.086928586,-0.047751053,0.620091069,0.59317592,0.930014056,0.232602524,1979.771739,2008.5,364278,698.8315217,704,128585,3189.206522,3257,586814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,23-A-1725449,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,11,7,1725449,PHN46 X PHK56,5/19/2023,NA,NA,NA,NA,502.2358491,479.5,106474,677,662,143524,488.3537736,480,103531,0.162548478,-0.161519828,0.780892482,0.712736864,1.171207207,0.308780367,2117.150943,2104,448836,564.0330189,559,119575,4021.169811,3962.5,852488,375.4150943,390.5,79588,529.7924528,544.5,112316,385.6037736,400.5,81748,0.19192776,-0.223882842,0.826979093,0.758414768,1.240314196,0.366622221,1750.79717,1790.5,371169,446.3537736,457.5,94627,3784.396226,3832,802292,597.8632075,585.5,126747,773.509434,779.5,163984,609.5235849,612,129219,0.132423944,-0.151723809,0.724772371,0.652040401,1.08702655,0.286606029,2023.75,2039,429035,676.9198113,677,143507,3657.830189,3720,775460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,23-A-1725450,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,17,4,1725450,PHN46 X W606S,5/19/2023,NA,NA,NA,NA,358.5047619,354,75286,566.452381,569.5,118955,400.3142857,400,84066,0.207423475,-0.2447247,0.841361999,0.757860123,1.261899552,0.340930611,2009.885714,2009,422076,501.6857143,501.5,105354,4096.495238,4094.5,860264,293.5238095,301,61640,453.4761905,463,95230,332.5904762,342,69844,0.210238984,-0.266137823,0.862582331,0.790357288,1.293710005,0.391129983,1658.690476,1679,348325,395.5380952,403,83063,3793.238095,3822.5,796580,532.6761905,539,111862,726.1380952,732.5,152489,571.2047619,577,119953,0.139554842,-0.16327016,0.753028582,0.674932943,1.129408093,0.305280333,1984.342857,2017.5,416712,669.7619048,674.5,140650,3730.538095,3783,783413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,23-A-1725453,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,17,20,1725453,B73 X PHZ51,5/19/2023,NA,NA,NA,NA,401.4950495,410.5,81102,623.2425743,633,125895,441.0148515,451,89085,0.201717039,-0.233635929,0.843033662,0.763865499,1.264423323,0.34703117,2247.084158,2269.5,453911,526.2623762,533,106305,4645.247525,4691.5,938340,349.7821782,369,70656,526.480198,547.5,106349,385.1188119,401,77794,0.203991714,-0.252197276,0.849694348,0.776306871,1.274392563,0.378079775,1848.866337,1894,373471,437.4306931,450.5,88361,4101.490099,4209,828501,569.8069307,580.5,115101,769.7029703,786,155480,596.3613861,603.5,120465,0.142006975,-0.161061541,0.754851174,0.678853512,1.132149943,0.302953052,2141.113861,2177,432505,686.6930693,689.5,138712,4005.950495,4072,809202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,23-A-1725455,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,13,19,1725455,LH145 X LH162,5/19/2023,NA,NA,NA,NA,394.015,391.5,78803,632.055,642,126411,435.36,434,87072,0.214311126,-0.245601505,0.843057583,0.757475169,1.264457547,0.338377631,2253.05,2270,450610,520.405,521,104081,4560.045,4607,912009,406.855,408.5,81371,571.125,572.5,114225,398.495,402,79699,0.192904079,-0.198675573,0.825078551,0.75870128,1.237475943,0.359701878,1925.72,1925.5,385144,453.05,454.5,90610,4098.365,4127,819673,793.17,781,158634,807.075,808.5,161415,642.35,638.5,128470,0.061908859,-0.016857463,0.588189253,0.579081429,0.882163932,0.228751437,1888.575,1893,377715,697.915,692.5,139583,3023.03,2997,604606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,23-A-1725456,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,17,3,1725456,LH195 X LH185,5/19/2023,NA,NA,NA,NA,399.25,400.5,79850,637.35,639.5,127470,449.57,450.5,89914,0.206878936,-0.242773504,0.852019016,0.772283147,1.277907824,0.355172058,2354.175,2373,470835,541.67,543.5,108334,4958.43,5032.5,991686,354.365,354,70873,527.595,537.5,105519,375.345,379.5,75069,0.217696574,-0.268354522,0.860088435,0.79194834,1.289990255,0.397677319,1900.915,1961.5,380183,430.62,429,86124,4412.52,4546.5,882504,588.03,612,117606,783.635,804.5,156727,608.735,623.5,121747,0.140295372,-0.161326623,0.758184078,0.685077776,1.137152022,0.312801569,2179.485,2227.5,435897,683.855,698.5,136771,4165.635,4258.5,833127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,23-A-1725458,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,15,13,1725458,LH195 X PHZ51,5/19/2023,NA,NA,NA,NA,418.7580645,414.5,77889,674.8548387,682.5,125523,451.2043011,458.5,83924,0.222537383,-0.246257976,0.842588293,0.756133906,1.263761239,0.339119454,2390.311828,2415.5,444598,525.0645161,524.5,97662,4847.553763,4920.5,901645,373.9086022,403,69547,558.5645161,596.5,103893,378.3870968,412,70380,0.255300272,-0.296554607,0.847162201,0.769429436,1.270591332,0.361870514,1921.086022,1965.5,357322,445.4247312,465,82849,4110.698925,4202,764590,594.5698925,617.5,110590,791.7204301,819,147260,600.3817204,612,111671,0.148335087,-0.164373978,0.729189375,0.646699263,1.093648537,0.267712096,2111.510753,2155,392741,680.7795699,685,126625,3669.591398,3786.5,682544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,23-A-1725459,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,15,23,1725459,LH195 X PHM49,5/19/2023,NA,NA,NA,NA,416.535,405.5,83307,644.305,640.5,128861,453.185,447.5,90637,0.198496542,-0.22360417,0.844695753,0.768373871,1.266924005,0.362118451,2297.275,2290,459455,514.925,512.5,102985,4909.07,4886.5,981814,392.545,392.5,78509,544.275,546,108855,394.355,400.5,78871,0.186059915,-0.21275218,0.840008841,0.779426245,1.259874341,0.393135136,1876.51,1919.5,375302,456.1,456,91220,4307.865,4409.5,861573,553.745,553,110749,725.925,731.5,145185,582.71,583,116542,0.126440965,-0.146930754,0.75908176,0.691650992,1.138493424,0.3226029,2033.21,2085,406642,675.87,670,135174,3978.57,4099.5,795714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,23-A-1725463,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,11,5,1725463,PHB47 X 3IIH6,5/19/2023,NA,NA,NA,NA,458.3883929,445,102679,675.5357143,670,151320,473.3839286,465.5,106038,0.195073408,-0.21302741,0.823893074,0.747739167,1.235716995,0.33728941,2304.433036,2318.5,516193,547.6116071,542,122665,4662.59375,4722,1044421,420.71875,403.5,94241,595.2723214,584.5,133341,421.7901786,413.5,94481,0.18636077,-0.201014127,0.827765053,0.760470704,1.241513944,0.364098426,2014.392857,2024,451224,466.9375,461,104594,4324.339286,4367.5,968652,738.5625,729,165438,886.4330357,889.5,198561,660.2142857,656,147888,0.124683875,-0.104414998,0.665078769,0.606540161,0.99750026,0.237957663,2217.129464,2240,496637,715.75,709.5,160328,3611.580357,3685,808994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,23-A-1725465,Ames,2023,155,159,234,NA,NA,NA,1.6174487,1.3688207,-0.9180608,1.5219069,1.35322334,-0.005850708,0.6468948,-1.0316815,0.018897455,1.5899763,0.5619575,0,Low,75,2315,17.5,1,13,6,1725465,LH82 X PHB47,5/19/2023,NA,NA,NA,NA,414.3166667,412,74577,661.0222222,670.5,118984,450.4,452.5,81072,0.215595307,-0.242631402,0.836797105,0.749850265,1.255069219,0.335511089,2290.383333,2291,412269,521.4722222,521.5,93865,4612.272222,4623.5,830209,352.9388889,365.5,63529,530.7833333,542,95541,371.2444444,377,66824,0.211698399,-0.248026336,0.847990717,0.773712085,1.271836088,0.376324445,1839.355556,1859,331084,436.6611111,435.5,78599,4061.116667,4126,731001,689.0555556,716.5,124030,862.5333333,884.5,155256,628.8111111,644.5,113186,0.138566607,-0.124280738,0.702083205,0.636290486,1.053005226,0.25981123,2263.905556,2289.5,407503,694.6388889,700,125035,3858.194444,3902,694475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
